file_name,text,summary
call1.m4a,05:07 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,05:07 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,05:08 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,05:08 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call1.m4a,05:10 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the cost of updating the map is $99 plus shipping and tax, and offers to place an order for him to ship out today and get a $50 discount. John agrees to use his credit card and takes the order."
call2.m4a,05:10 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,05:11 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,05:14 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,05:14 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,05:44 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,05:44 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call2.m4a,05:45 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
call1.m4a,05:46 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call1.m4a,05:51 PM,"The customer, John Smith, calls Nissan to inquire about the cost of updating the map in his 2009 Nissan Altima. The representative, Lauren, informs him that the newest version is available for $99 plus shipping and tax, and offers to place the order for him. John agrees to pay with his credit card and provides his phone number."
call2.m4a,05:51 PM,The customer calls Martha's Flourist to order flowers and provides their name and contact information. The agent takes the order for one dozen long stemmed red roses and informs the customer that the order will be shipped within 24 hours. The customer confirms the delivery address and thanks the agent before ending the call.
